,,,,,,,,,,
National Syndromic Surveillance Program (NSSP): Emergency Department Visits,,,,,,,,,,
Percentage of Visits for COVID-19-Like Illness (CLI) or Influenza-like Illness (ILI),,,,,,,,,,
"September 29, 2019 - May 16, 2020",,,,,,,,,,
"Data as of May 21, 2020",,,,,,,,,,
https://www.cdc.gov/coronavirus/2019-ncov/covid-data/covidview/index.html,,,,,,,,,,
National,,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,"3,294","2,167,084","23,105",1.1,"19,730",0.9,,,,
201941,"3,287","2,121,877","24,057",1.1,"20,604",1.0,,,,
201942,"3,287","2,116,373","26,444",1.2,"22,677",1.1,,,,
201943,"3,288","2,137,441","27,533",1.3,"23,929",1.1,,,,
201944,"3,327","2,095,521","29,257",1.4,"25,625",1.2,,,,
201945,"3,341","2,143,966","33,909",1.6,"30,135",1.4,,,,
201946,"3,357","2,128,124","36,240",1.7,"32,610",1.5,,,,
201947,"3,367","2,215,980","39,283",1.8,"36,246",1.6,,,,
201948,"3,370","2,104,618","43,048",2.0,"39,914",1.9,,,,
201949,"3,371","2,231,853","41,809",1.9,"37,853",1.7,,,,
201950,"3,377","2,245,770","44,030",2.0,"42,637",1.9,,,,
201951,"3,376","2,229,401","49,676",2.2,"51,048",2.3,,,,
201952,"3,379","2,336,211","64,395",2.8,"68,767",2.9,,,,
202001,"3,395","2,413,469","58,829",2.4,"57,740",2.4,,,,
202002,"3,392","2,297,996","43,457",1.9,"42,731",1.9,,,,
202003,"3,398","2,268,646","42,412",1.9,"44,732",2.0,,,,
202004,"3,416","2,266,361","46,099",2.0,"49,730",2.2,,,,
202005,"3,430","2,358,775","54,095",2.3,"59,864",2.5,,,,
202006,"3,428","2,346,984","53,251",2.3,"59,158",2.5,,,,
202007,"3,443","2,281,055","47,471",2.1,"51,024",2.2,,,,
202008,"3,442","2,263,292","44,056",1.9,"46,060",2.0,,,,
202009,"3,451","2,226,956","40,842",1.8,"41,875",1.9,,,,
202010,"3,462","2,257,828","49,497",2.2,"49,991",2.2,,,,
202011,"3,462","2,243,393","76,810",3.4,"71,568",3.2,,,,
202012,"3,461","1,800,248","107,625",6.0,"84,534",4.7,,,,
202013,"3,469","1,446,269","99,436",6.9,"62,396",4.3,,,,
202014,"3,472","1,259,631","86,908",6.9,"43,850",3.5,,,,
202015,"3,460","1,198,097","72,548",6.1,"30,170",2.5,,,,
202016,"3,458","1,176,397","58,799",5.0,"21,356",1.8,,,,
202017,"3,448","1,245,875","52,797",4.2,"17,484",1.4,,,,
202018,"3,447","1,301,413","48,193",3.7,"14,889",1.1,,,,
202019,"3,446","1,362,403","41,451",3.0,"12,577",0.9,,,,
202020,"3,441","1,404,720","35,359",2.5,"11,736",0.8,,,,
Total,,"65,694,027","1,642,721",,"1,325,240",,,,,
,,,,,,,,,,
"Region 1 (CT, ME, MA, NH, RI, VT)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,203,"132,276","1,032",0.8,749,0.6,,,,
201941,202,"130,409","1,121",0.9,814,0.6,,,,
201942,202,"132,411","1,208",0.9,912,0.7,,,,
201943,202,"131,890","1,249",0.9,883,0.7,,,,
201944,203,"128,277","1,203",0.9,888,0.7,,,,
201945,203,"127,496","1,365",1.1,979,0.8,,,,
201946,202,"125,329","1,538",1.2,"1,188",0.9,,,,
201947,202,"128,908","1,546",1.2,"1,235",1.0,,,,
201948,202,"124,811","1,795",1.4,"1,452",1.2,,,,
201949,203,"125,982","1,837",1.5,"1,362",1.1,,,,
201950,202,"130,471","1,789",1.4,"1,405",1.1,,,,
201951,202,"126,343","1,964",1.6,"1,704",1.3,,,,
201952,203,"136,116","2,733",2.0,"2,483",1.8,,,,
202001,203,"144,623","2,902",2.0,"2,567",1.8,,,,
202002,202,"140,147","2,349",1.7,"2,192",1.6,,,,
202003,202,"134,802","2,422",1.8,"2,452",1.8,,,,
202004,202,"139,770","2,732",2.0,"2,945",2.1,,,,
202005,202,"146,367","3,254",2.2,"3,497",2.4,,,,
202006,202,"143,968","3,222",2.2,"3,612",2.5,,,,
202007,202,"138,238","2,727",2.0,"2,844",2.1,,,,
202008,202,"132,293","2,306",1.7,"2,291",1.7,,,,
202009,202,"133,044","2,074",1.6,"1,913",1.4,,,,
202010,199,"129,466","2,377",1.8,"2,297",1.8,,,,
202011,198,"123,650","3,889",3.1,"3,320",2.7,,,,
202012,199,"91,546","5,452",6.0,"3,607",3.9,,,,
202013,198,"74,678","5,519",7.4,"2,561",3.4,,,,
202014,198,"66,799","6,100",9.1,"2,091",3.1,,,,
202015,193,"66,482","6,219",9.4,"1,633",2.5,,,,
202016,192,"65,856","5,933",9.0,"1,342",2.0,,,,
202017,192,"70,486","5,733",8.1,"1,032",1.5,,,,
202018,192,"73,503","4,883",6.6,729,1.0,,,,
202019,191,"78,090","4,089",5.2,674,0.9,,,,
202020,190,"80,263","3,170",3.9,602,0.8,,,,
Total,,"3,854,790","97,732",,"60,255",,,,,
,,,,,,,,,,
"Region 2 (NJ, NY, PR)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,196,"225,738","2,136",0.9,"1,782",0.8,,,,
201941,196,"221,812","2,056",0.9,"1,787",0.8,,,,
201942,195,"219,998","2,322",1.1,"2,002",0.9,,,,
201943,195,"224,694","2,362",1.1,"2,101",0.9,,,,
201944,196,"220,725","2,708",1.2,"2,342",1.1,,,,
201945,195,"218,939","2,953",1.3,"2,642",1.2,,,,
201946,196,"215,939","3,260",1.5,"2,798",1.3,,,,
201947,196,"225,682","3,423",1.5,"3,055",1.4,,,,
201948,196,"216,707","3,924",1.8,"3,626",1.7,,,,
201949,196,"224,209","4,059",1.8,"3,707",1.7,,,,
201950,196,"230,471","4,329",1.9,"4,122",1.8,,,,
201951,195,"224,947","4,962",2.2,"4,924",2.2,,,,
201952,195,"239,700","6,489",2.7,"6,864",2.9,,,,
202001,195,"250,104","6,478",2.6,"6,740",2.7,,,,
202002,195,"243,427","4,981",2.0,"5,342",2.2,,,,
202003,195,"238,528","5,057",2.1,"5,617",2.4,,,,
202004,195,"238,644","5,614",2.4,"6,432",2.7,,,,
202005,195,"245,380","6,123",2.5,"7,050",2.9,,,,
202006,195,"241,580","5,815",2.4,"6,702",2.8,,,,
202007,195,"228,900","4,643",2.0,"5,202",2.3,,,,
202008,195,"222,235","3,957",1.8,"4,219",1.9,,,,
202009,195,"222,045","3,568",1.6,"3,696",1.7,,,,
202010,195,"222,253","4,796",2.2,"5,000",2.2,,,,
202011,195,"223,509","9,794",4.4,"9,203",4.1,,,,
202012,195,"188,426","17,812",9.5,"14,306",7.6,,,,
202013,195,"166,920","23,384",14.0,"15,271",9.1,,,,
202014,194,"144,632","23,046",15.9,"11,751",8.1,,,,
202015,195,"123,502","17,916",14.5,"7,083",5.7,,,,
202016,195,"110,025","12,321",11.2,"4,053",3.7,,,,
202017,194,"106,986","8,398",7.8,"2,286",2.1,,,,
202018,194,"109,953","6,324",5.8,"1,569",1.4,,,,
202019,194,"114,247","4,470",3.9,"1,077",0.9,,,,
202020,194,"117,433","3,431",2.9,896,0.8,,,,
Total,,"6,668,290","222,911",,"165,247",,, ,,
,,,,,,,,,,
"Region 3 (DE, DC, MD, PA, VA, WV)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,332,"233,563","2,038",0.9,"1,590",0.7,,,,
201941,332,"231,143","2,118",0.9,"1,619",0.7,,,,
201942,332,"226,257","2,249",1.0,"1,706",0.8,,,,
201943,335,"231,368","2,295",1.0,"1,742",0.8,,,,
201944,334,"229,682","2,379",1.0,"1,814",0.8,,,,
201945,335,"224,896","2,574",1.1,"2,000",0.9,,,,
201946,337,"225,122","2,830",1.3,"2,266",1.0,,,,
201947,340,"233,845","3,124",1.3,"2,451",1.0,,,,
201948,340,"221,039","3,409",1.5,"2,768",1.3,,,,
201949,338,"233,896","3,361",1.4,"2,787",1.2,,,,
201950,338,"237,372","3,624",1.5,"3,138",1.3,,,,
201951,341,"236,509","4,066",1.7,"3,727",1.6,,,,
201952,338,"250,331","5,398",2.2,"5,286",2.1,,,,
202001,341,"264,031","5,288",2.0,"4,652",1.8,,,,
202002,339,"248,343","3,821",1.5,"3,283",1.3,,,,
202003,341,"243,132","3,591",1.5,"3,390",1.4,,,,
202004,344,"243,734","3,834",1.6,"3,848",1.6,,,,
202005,345,"253,592","4,524",1.8,"4,679",1.8,,,,
202006,342,"253,565","4,398",1.7,"4,756",1.9,,,,
202007,344,"247,485","4,132",1.7,"4,053",1.6,,,,
202008,345,"243,204","3,576",1.5,"3,422",1.4,,,,
202009,344,"241,085","3,538",1.5,"3,440",1.4,,,,
202010,354,"248,290","4,283",1.7,"3,971",1.6,,,,
202011,354,"247,024","6,903",2.8,"6,122",2.5,,,,
202012,355,"190,978","10,087",5.3,"7,351",3.8,,,,
202013,357,"151,688","8,311",5.5,"4,853",3.2,,,,
202014,359,"132,904","7,663",5.8,"3,507",2.6,,,,
202015,360,"128,271","7,615",5.9,"2,809",2.2,,,,
202016,358,"128,525","7,428",5.8,"2,242",1.7,,,,
202017,360,"136,497","7,570",5.5,"2,052",1.5,,,,
202018,361,"144,769","7,482",5.2,"1,808",1.2,,,,
202019,358,"149,958","6,747",4.5,"1,562",1.0,,,,
202020,367,"157,287","5,335",3.4,"1,431",0.9,,,,
Total,,"7,069,385","155,591",,"106,125",,,,,
,,,,,,,,,,
"Region 4 (AL, FL, GA, KY, MS, NC, SC, TN)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,813,"612,153","8,565",1.4,"7,573",1.2,,,,
201941,816,"595,615","8,665",1.5,"7,871",1.3,,,,
201942,818,"592,971","9,282",1.6,"8,209",1.4,,,,
201943,817,"602,691","9,905",1.6,"8,859",1.5,,,,
201944,841,"599,207","10,754",1.8,"9,892",1.7,,,,
201945,841,"606,234","12,472",2.1,"11,438",1.9,,,,
201946,857,"595,824","13,193",2.2,"12,172",2.0,,,,
201947,863,"620,099","14,196",2.3,"13,276",2.1,,,,
201948,864,"600,107","15,304",2.6,"14,573",2.4,,,,
201949,868,"634,541","13,941",2.2,"12,884",2.0,,,,
201950,871,"638,722","14,582",2.3,"14,754",2.3,,,,
201951,870,"640,588","16,993",2.7,"18,138",2.8,,,,
201952,871,"661,447","20,780",3.1,"22,581",3.4,,,,
202001,871,"678,230","17,778",2.6,"16,779",2.5,,,,
202002,871,"643,003","12,825",2.0,"12,219",1.9,,,,
202003,872,"650,722","13,137",2.0,"13,391",2.1,,,,
202004,876,"626,874","13,681",2.2,"13,723",2.2,,,,
202005,879,"661,276","16,453",2.5,"17,033",2.6,,,,
202006,880,"674,738","17,056",2.5,"17,655",2.6,,,,
202007,881,"657,381","14,697",2.2,"14,820",2.3,,,,
202008,881,"641,205","13,394",2.1,"12,845",2.0,,,,
202009,882,"625,044","12,469",2.0,"11,778",1.9,,,,
202010,885,"640,987","15,769",2.5,"15,007",2.3,,,,
202011,885,"646,094","22,970",3.6,"20,972",3.2,,,,
202012,884,"527,518","29,271",5.5,"23,366",4.4,,,,
202013,885,"418,562","23,802",5.7,"15,682",3.7,,,,
202014,888,"351,909","17,650",5.0,"9,970",2.8,,,,
202015,888,"332,817","13,634",4.1,"6,887",2.1,,,,
202016,885,"331,428","10,900",3.3,"5,090",1.5,,,,
202017,884,"347,845","9,454",2.7,"4,160",1.2,,,,
202018,886,"357,419","8,549",2.4,"3,654",1.0,,,,
202019,884,"383,691","7,671",2.0,"3,181",0.8,,,,
202020,884,"396,785","7,152",1.8,"3,077",0.8,,,,
Total,,"18,593,727","466,944",,"403,509",,,,,
,,,,,,,,,,
"Region 5 (IL, IN, MI, MN, OH, WI)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,694,"405,299","3,896",1.0,"3,279",0.8,,,,
201941,689,"394,816","4,240",1.1,"3,492",0.9,,,,
201942,687,"389,598","4,666",1.2,"3,871",1.0,,,,
201943,689,"395,292","4,810",1.2,"4,048",1.0,,,,
201944,693,"381,940","4,819",1.3,"3,968",1.0,,,,
201945,699,"388,187","5,266",1.4,"4,277",1.1,,,,
201946,698,"381,771","5,258",1.4,"4,420",1.2,,,,
201947,699,"402,320","5,831",1.4,"4,941",1.2,,,,
201948,698,"382,060","6,710",1.8,"5,820",1.5,,,,
201949,699,"414,207","7,281",1.8,"6,379",1.5,,,,
201950,699,"411,949","8,158",2.0,"7,580",1.8,,,,
201951,700,"411,822","8,880",2.2,"9,042",2.2,,,,
201952,700,"438,981","12,120",2.8,"13,177",3.0,,,,
202001,705,"451,338","11,222",2.5,"11,438",2.5,,,,
202002,705,"421,287","7,728",1.8,"7,976",1.9,,,,
202003,707,"402,943","7,149",1.8,"8,065",2.0,,,,
202004,715,"414,499","7,938",1.9,"9,370",2.3,,,,
202005,715,"435,634","9,727",2.2,"12,347",2.8,,,,
202006,714,"431,913","9,242",2.1,"12,077",2.8,,,,
202007,714,"413,109","8,182",2.0,"10,353",2.5,,,,
202008,715,"419,016","7,743",1.8,"9,768",2.3,,,,
202009,716,"410,862","7,168",1.7,"8,809",2.1,,,,
202010,714,"417,667","7,652",1.8,"9,133",2.2,,,,
202011,713,"415,980","12,036",2.9,"12,600",3.0,,,,
202012,714,"326,707","18,023",5.5,"14,646",4.5,,,,
202013,714,"258,524","16,524",6.4,"9,769",3.8,,,,
202014,713,"228,727","15,003",6.6,"7,042",3.1,,,,
202015,711,"215,538","12,819",5.9,"4,851",2.3,,,,
202016,710,"211,319","11,199",5.3,"3,883",1.8,,,,
202017,713,"228,713","11,169",4.9,"3,599",1.6,,,,
202018,711,"242,251","11,138",4.6,"3,267",1.3,,,,
202019,713,"249,188","9,759",3.9,"2,635",1.1,,,,
202020,711,"256,763","8,346",3.3,"2,408",0.9,,,,
Total,,"12,050,220","291,702",,"238,330",,,,,
,,,,,,,,,,
"Region 6 (AR, LA, NM, OK, TX)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,349,"204,721","2,141",1.0,"1,896",0.9,,,,
201941,348,"195,908","2,210",1.1,"1,942",1.0,,,,
201942,345,"197,695","2,579",1.3,"2,275",1.2,,,,
201943,349,"194,900","2,646",1.4,"2,459",1.3,,,,
201944,349,"189,657","2,976",1.6,"2,825",1.5,,,,
201945,350,"207,973","3,912",1.9,"3,754",1.8,,,,
201946,351,"206,073","4,267",2.1,"4,106",2.0,,,,
201947,353,"222,915","5,007",2.2,"5,058",2.3,,,,
201948,350,"207,031","5,159",2.5,"4,984",2.4,,,,
201949,348,"212,973","4,371",2.1,"4,063",1.9,,,,
201950,352,"209,969","4,045",1.9,"4,039",1.9,,,,
201951,346,"205,520","4,426",2.2,"4,734",2.3,,,,
201952,350,"219,049","5,838",2.7,"6,437",2.9,,,,
202001,349,"218,595","4,757",2.2,"4,846",2.2,,,,
202002,350,"204,412","3,558",1.7,"3,548",1.7,,,,
202003,353,"207,622","3,408",1.6,"3,631",1.7,,,,
202004,352,"202,943","3,694",1.8,"4,195",2.1,,,,
202005,358,"208,010","4,193",2.0,"4,660",2.2,,,,
202006,359,"202,394","4,116",2.0,"4,459",2.2,,,,
202007,365,"197,563","3,775",1.9,"3,981",2.0,,,,
202008,367,"199,123","3,711",1.9,"3,830",1.9,,,,
202009,370,"193,286","3,378",1.7,"3,375",1.7,,,, 
202010,370,"200,950","4,007",2.0,"3,988",2.0,,,,
202011,371,"203,762","6,226",3.1,"5,734",2.8,,,,
202012,371,"166,821","8,599",5.2,"6,753",4.0,,,,
202013,372,"125,969","7,325",5.8,"4,758",3.8,,,,
202014,372,"113,090","5,801",5.1,"3,069",2.7,,,,
202015,372,"117,110","5,267",4.5,"2,448",2.1,,,,
202016,372,"115,274","3,868",3.4,"1,599",1.4,,,,
202017,360,"123,663","3,511",2.8,"1,423",1.2,,,,
202018,359,"128,312","3,294",2.6,"1,317",1.0,,,,
202019,353,"135,175","2,958",2.2,"1,151",0.9,,,,
202020,348,"137,539","2,774",2.0,"1,190",0.9,,,,
Total,,"6,075,997","137,797",,"118,527",,,,,
,,,,,,,,,,
"Region 7 (IA, KS, MO, NE)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,229,"84,506",933,1.1,973,1.2,,,,
201941,228,"80,963","1,037",1.3,"1,066",1.3,,,,
201942,228,"84,359","1,311",1.6,"1,378",1.6,,,,
201943,226,"83,381","1,381",1.7,"1,387",1.7,,,,
201944,228,"78,914","1,330",1.7,"1,331",1.7,,,,
201945,228,"83,327","1,492",1.8,"1,520",1.8,,,,
201946,225,"80,975","1,581",2.0,"1,535",1.9,,,,
201947,226,"86,524","1,819",2.1,"1,853",2.1,,,,
201948,230,"81,866","2,027",2.5,"2,063",2.5,,,,
201949,229,"87,871","2,000",2.3,"1,988",2.3,,,,
201950,227,"86,991","2,239",2.6,"2,308",2.7,,,,
201951,231,"83,709","2,567",3.1,"2,691",3.2,,,,
201952,231,"91,598","3,197",3.5,"3,416",3.7,,,,
202001,239,"92,075","2,810",3.1,"2,874",3.1,,,,
202002,234,"84,557","2,011",2.4,"2,025",2.4,,,,
202003,236,"82,882","1,891",2.3,"2,056",2.5,,,,
202004,241,"82,409","1,837",2.2,"2,080",2.5,,,,
202005,244,"87,671","2,222",2.5,"2,558",2.9,,,,
202006,242,"87,888","2,355",2.7,"2,726",3.1,,,,
202007,244,"87,147","2,516",2.9,"2,884",3.3,,,,
202008,244,"90,024","2,500",2.8,"2,792",3.1,,,,
202009,247,"88,950","2,247",2.5,"2,563",2.9,,,,
202010,249,"88,459","2,234",2.5,"2,425",2.7,,,,
202011,249,"85,743","2,814",3.3,"2,851",3.3,,,,
202012,251,"70,659","3,463",4.9,"3,144",4.4,,,,
202013,253,"58,049","2,608",4.5,"2,071",3.6,,,,
202014,253,"51,022","1,839",3.6,"1,293",2.5,,,,
202015,251,"49,655","1,398",2.8,882,1.8,,,,
202016,251,"47,389","1,136",2.4,652,1.4,,,,
202017,251,"51,559","1,097",2.1,620,1.2,,,,
202018,251,"55,607","1,135",2.0,503,0.9,,,,
202019,252,"56,671",998,1.8,442,0.8,,,,
202020,250,"57,977",860,1.5,454,0.8,,,,
Total,,"2,551,377","62,885",,"61,404",,,,,
,,,,,,,,,,
"Region 8 (CO, MT, ND, SD, UT, WY)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,152,"47,373",367,0.8,285,0.6,,,,
201941,153,"47,033",431,0.9,303,0.6,,,,
201942,152,"47,907",436,0.9,333,0.7,,,,
201943,150,"46,886",385,0.8,340,0.7,,,,
201944,156,"46,005",427,0.9,316,0.7,,,,
201945,158,"53,761",592,1.1,477,0.9,,,,
201946,158,"54,373",606,1.1,484,0.9,,,,
201947,154,"55,429",698,1.3,630,1.1,,,,
201948,157,"52,872",844,1.6,751,1.4,,,,
201949,158,"56,509",731,1.3,633,1.1,,,,
201950,161,"56,041",814,1.5,765,1.4,,,,
201951,160,"56,697",912,1.6,919,1.6,,,,
201952,157,"59,668","1,433",2.4,"1,513",2.5,,,,
202001,160,"63,206","1,263",2.0,"1,354",2.1,,,,
202002,160,"60,875","1,193",2.0,"1,165",1.9,,,,
202003,159,"60,107","1,095",1.8,"1,180",2.0,,,,
202004,160,"62,391","1,334",2.1,"1,415",2.3,,,,
202005,160,"63,954","1,554",2.4,"1,680",2.6,,,,
202006,164,"61,603","1,394",2.3,"1,461",2.4,,,,
202007,164,"61,161","1,276",2.1,"1,396",2.3,,,,
202008,161,"61,823","1,342",2.2,"1,456",2.4,,,,
202009,163,"61,214","1,284",2.1,"1,332",2.2,,,,
202010,163,"61,988","1,435",2.3,"1,516",2.4,,,,
202011,162,"61,633","2,507",4.1,"2,295",3.7,,,,
202012,160,"50,028","3,110",6.2,"2,368",4.7,,,,
202013,161,"42,233","2,801",6.6,"1,643",3.9,,,,
202014,162,"37,686","2,431",6.5,"1,220",3.2,,,,
202015,160,"36,849","1,956",5.3,857,2.3,,,,
202016,162,"35,442","1,568",4.4,599,1.7,,,,
202017,162,"39,530","1,580",4.0,536,1.4,,,,
202018,161,"41,599","1,478",3.6,434,1.0,,,,
202019,165,"42,014","1,311",3.1,422,1.0,,,,
202020,165,"43,089","1,199",2.8,350,0.8,,,,
Total,,"1,728,979","41,787",,"32,428",,,,,
,,,,,,,,,,
"Region 9 (AZ, CA, GU, HI, NV)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,135,"130,063","1,273",1.0,"1,113",0.9,,,,
201941,135,"132,245","1,464",1.1,"1,211",0.9,,,,
201942,136,"132,256","1,589",1.2,"1,375",1.0,,,,
201943,137,"134,298","1,708",1.3,"1,535",1.1,,,,
201944,137,"133,212","1,888",1.4,"1,653",1.2,,,,
201945,141,"143,851","2,356",1.6,"2,304",1.6,,,,
201946,142,"147,616","2,584",1.8,"2,685",1.8,,,,
201947,140,"144,929","2,514",1.7,"2,688",1.9,,,,
201948,140,"126,371","2,501",2.0,"2,527",2.0,,,,
201949,139,"143,637","2,776",1.9,"2,697",1.9,,,,
201950,139,"145,185","2,720",1.9,"2,724",1.9,,,,
201951,138,"143,686","2,921",2.0,"2,929",2.0,,,,
201952,140,"136,000","3,798",2.8,"4,018",3.0,,,,
202001,138,"147,153","4,021",2.7,"4,028",2.7,,,,
202002,140,"153,879","3,365",2.2,"3,411",2.2,,,,
202003,140,"155,275","3,294",2.1,"3,667",2.4,,,,
202004,139,"157,382","3,996",2.5,"4,290",2.7,,,,
202005,139,"159,947","4,351",2.7,"4,646",2.9,,,,
202006,138,"154,349","4,023",2.6,"4,209",2.7,,,,
202007,138,"153,378","3,956",2.6,"4,009",2.6,,,,
202008,138,"156,558","3,822",2.4,"3,885",2.5,,,,
202009,139,"153,328","3,226",2.1,"3,259",2.1,,,,
202010,139,"150,395","3,738",2.5,"3,659",2.4,,,,
202011,140,"143,239","5,050",3.5,"4,575",3.2,,,,
202012,138,"110,526","6,456",5.8,"5,097",4.6,,,,
202013,138,"86,777","5,057",5.8,"3,371",3.9,,,,
202014,138,"76,590","4,229",5.5,"2,498",3.3,,,,
202015,137,"71,082","3,329",4.7,"1,719",2.4,,,,
202016,139,"73,607","2,685",3.6,"1,257",1.7,,,,
202017,139,"79,374","2,685",3.4,"1,154",1.5,,,,
202018,139,"83,298","2,512",3.0,"1,051",1.3,,,,
202019,140,"86,273","2,294",2.7,989,1.1,,,,
202020,138,"88,323","2,084",2.4,893,1.0,,,,
Total,,"4,234,082","104,265",,"91,126",,,,,
,,,,,,,,,,
"Region 10 (AK, ID, OR, WA)",,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,191,"91,392",724,0.8,490,0.5,,,,
201941,188,"91,933",715,0.8,499,0.5,,,,
201942,192,"92,921",802,0.9,616,0.7,,,,
201943,188,"92,041",792,0.9,575,0.6,,,,
201944,190,"87,902",773,0.9,596,0.7,,,,
201945,191,"89,302",927,1.0,744,0.8,,,,
201946,191,"95,102","1,123",1.2,956,1.0,,,,
201947,194,"95,329","1,125",1.2,"1,059",1.1,,,,
201948,193,"91,754","1,375",1.5,"1,350",1.5,,,,
201949,193,"98,028","1,452",1.5,"1,353",1.4,,,,
201950,192,"98,599","1,730",1.8,"1,802",1.8,,,,
201951,193,"99,580","1,985",2.0,"2,240",2.2,,,,
201952,194,"103,321","2,609",2.5,"2,992",2.9,,,,
202001,194,"104,114","2,310",2.2,"2,462",2.4,,,,
202002,196,"98,066","1,626",1.7,"1,570",1.6,,,,
202003,193,"92,633","1,368",1.5,"1,283",1.4,,,,
202004,192,"97,715","1,439",1.5,"1,432",1.5,,,,
202005,193,"96,944","1,694",1.7,"1,714",1.8,,,,
202006,192,"94,986","1,630",1.7,"1,501",1.6,,,,
202007,196,"96,693","1,567",1.6,"1,482",1.5,,,,
202008,194,"97,811","1,705",1.7,"1,552",1.6,,,,
202009,193,"98,098","1,890",1.9,"1,710",1.7,,,,
202010,194,"97,373","3,206",3.3,"2,995",3.1,,,,
202011,195,"92,759","4,621",5.0,"3,896",4.2,,,,
202012,194,"77,039","5,352",6.9,"3,896",5.1,,,,
202013,196,"62,869","4,105",6.5,"2,417",3.8,,,,
202014,195,"56,272","3,146",5.6,"1,409",2.5,,,,
202015,193,"56,791","2,395",4.2,"1,001",1.8,,,,
202016,194,"57,532","1,761",3.1,639,1.1,,,,
202017,193,"61,222","1,600",2.6,622,1.0,,,,
202018,193,"64,702","1,398",2.2,557,0.9,,,,
202019,196,"67,096","1,154",1.7,444,0.7,,,,
202020,194,"69,261","1,008",1.5,435,0.6,,,,
Total,,"2,867,180","61,107",,"48,289",,,,,
